ACCOUNT_ID,CUSTOMER_ID,INIT_BALANCE,COUNTRY,ACCOUNT_TYPE,IS_FRAUD,TX_BEHAVIOR_ID,OCCUPATION,SOURCE_OF_FUNDS,PEP_STATUS,DOCUMENT_STATUS,SANCTIONS_STATUS,KYC_STATUS,RISK_SCORE,RISK_LEVEL,RISK_REASONS,EDD_REQUIRED,EDD_STATUS
48,C_48,447.72,US,I,False,3,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
49,C_49,593.51,US,I,False,3,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
50,C_50,560.64,US,I,False,3,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
51,C_51,489.59,US,I,False,3,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
52,C_52,416.09,US,I,False,3,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
53,C_53,464.01,US,I,False,3,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
54,C_54,501.59,US,I,False,3,Student,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
55,C_55,586.57,US,I,False,3,Consultant,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
56,C_56,421.81,US,I,False,3,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
57,C_57,510.25,US,I,False,3,Student,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
58,C_58,541.31,US,I,False,3,Engineer,Salary,No,Verified,Potential Match,Manual Review,50,Medium,Potential sanctions match,Yes,Pending Review
59,C_59,509.49,US,I,False,3,Consultant,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
60,C_60,181.45,US,I,False,4,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
61,C_61,154.03,US,I,False,4,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
62,C_62,196.38,US,I,False,4,Consultant,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
63,C_63,160.32,US,I,True,4,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
64,C_64,158.76,US,I,False,4,Consultant,Business Income,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
65,C_65,144.5,US,I,False,4,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
66,C_66,159.63,US,I,False,4,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
67,C_67,138.49,US,I,False,4,Engineer,Investment,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
68,C_68,157.57,US,I,False,4,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
69,C_69,129.03,US,I,False,4,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
70,C_70,118.94,US,I,True,4,Business Owner,Business Income,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
71,C_71,118.67,US,I,False,4,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
72,C_72,161.28,US,I,False,4,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
73,C_73,165.67,US,I,True,4,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
74,C_74,147.65,US,I,False,4,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
75,C_75,108.98,US,I,False,4,Student,Savings,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
76,C_76,175.76,US,I,False,4,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
77,C_77,187.68,US,I,False,4,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
78,C_78,192.34,US,I,False,4,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
79,C_79,184.25,US,I,False,4,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
80,C_80,379.63,US,I,False,5,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
81,C_81,384.62,US,I,False,5,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
82,C_82,308.12,US,I,False,5,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
83,C_83,278.26,US,I,False,5,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
84,C_84,341.06,US,I,False,5,Software Developer,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
85,C_85,255.13,US,I,False,5,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
86,C_86,362.33,US,I,False,5,Software Developer,Savings,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
87,C_87,369.9,US,I,False,5,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
88,C_88,379.01,US,I,False,5,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
89,C_89,317.96,US,I,False,5,Engineer,Savings,No,Rejected,Cleared,Rejected,40,Medium,Rejected documents,No,Not Required
90,C_90,389.95,US,I,False,5,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
91,C_91,315.94,US,I,False,5,Software Developer,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
92,C_92,290.11,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
93,C_93,332.05,US,I,True,5,Consultant,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
94,C_94,399.25,US,I,False,5,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
95,C_95,383.39,US,I,False,5,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
96,C_96,358.67,US,I,False,5,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
97,C_97,216.47,US,I,False,5,Student,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
98,C_98,322.56,US,I,False,5,Student,Family Support,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
99,C_99,297.29,US,I,False,5,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
100,C_100,163.01,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
101,C_101,184.51,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
102,C_102,124.3,US,I,False,1,Consultant,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
103,C_103,173.15,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
104,C_104,111.71,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
105,C_105,122.05,US,I,False,1,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
106,C_106,179.46,US,I,False,1,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
107,C_107,133.25,US,I,False,1,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
108,C_108,181.59,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
109,C_109,110.06,US,I,False,1,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
110,C_110,114.64,US,I,False,1,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
111,C_111,169.77,US,I,False,1,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
112,C_112,104.52,US,I,False,1,Engineer,Salary,No,Verified,Potential Match,Manual Review,50,Medium,Potential sanctions match,Yes,Pending Review
113,C_113,157.39,US,I,False,1,Business Owner,Business Income,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
114,C_114,191.0,US,I,False,1,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
115,C_115,153.42,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
116,C_116,168.06,US,I,False,1,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
117,C_117,102.67,US,I,False,1,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
118,C_118,163.5,US,I,False,1,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
119,C_119,160.63,US,I,False,1,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
120,C_120,315.19,US,I,False,2,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
121,C_121,278.24,US,I,False,2,Software Developer,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
122,C_122,274.03,US,I,False,2,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
123,C_123,396.1,US,I,False,2,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
124,C_124,207.28,US,I,False,2,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
125,C_125,204.33,US,I,True,2,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
126,C_126,392.21,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
127,C_127,236.99,US,I,True,2,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
128,C_128,224.78,US,I,False,2,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
129,C_129,242.12,US,I,False,2,Consultant,Savings,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
130,C_130,360.15,US,I,True,2,Teacher,Unknown,No,Rejected,Cleared,Rejected,60,High,Unknown source of funds; Rejected documents,Yes,Pending Review
131,C_131,387.39,US,I,True,2,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
132,C_132,204.56,US,I,False,2,Consultant,Salary,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
133,C_133,285.12,US,I,True,2,Student,Savings,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
134,C_134,220.3,US,I,False,2,Consultant,Savings,No,Verified,Potential Match,Manual Review,50,Medium,Potential sanctions match,Yes,Pending Review
135,C_135,251.98,US,I,False,2,Student,Family Support,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
136,C_136,244.17,US,I,False,2,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
137,C_137,329.39,US,I,True,2,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
138,C_138,270.06,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
139,C_139,236.06,US,I,False,2,Consultant,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
140,C_140,500.73,US,I,False,3,Student,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
141,C_141,407.88,US,I,True,3,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
142,C_142,420.18,US,I,False,3,Engineer,Salary,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
143,C_143,597.65,US,I,False,3,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
144,C_144,439.87,US,I,True,3,Business Owner,Business Income,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
145,C_145,471.71,US,I,False,3,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
146,C_146,546.32,US,I,False,3,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
147,C_147,567.67,US,I,False,3,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
148,C_148,583.7,US,I,False,3,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
149,C_149,433.88,US,I,False,3,Consultant,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
150,C_150,534.53,US,I,False,3,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
151,C_151,593.31,US,I,True,3,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
152,C_152,411.61,US,I,False,3,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
153,C_153,535.24,US,I,False,3,Consultant,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
154,C_154,569.08,US,I,False,3,Student,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
155,C_155,468.46,US,I,False,3,Consultant,Investment,Yes,Pending,Cleared,Pending,55,Medium,PEP status; Pending documents,Yes,Pending Review
156,C_156,450.14,US,I,False,3,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
157,C_157,519.36,US,I,False,3,Consultant,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
158,C_158,488.46,US,I,False,3,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
159,C_159,434.96,US,I,False,3,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
160,C_160,147.16,US,I,False,4,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
161,C_161,140.99,US,I,False,4,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
162,C_162,156.91,US,I,False,4,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
163,C_163,150.86,US,I,False,4,Consultant,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
164,C_164,131.14,US,I,False,4,Teacher,Savings,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
165,C_165,135.72,US,I,False,4,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
166,C_166,183.77,US,I,False,4,Teacher,Salary,Yes,Pending,Cleared,Pending,55,Medium,PEP status; Pending documents,Yes,Pending Review
167,C_167,125.09,US,I,True,4,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
168,C_168,156.06,US,I,False,4,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
169,C_169,101.24,US,I,False,4,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
170,C_170,174.16,US,I,False,4,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
171,C_171,133.59,US,I,False,4,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
172,C_172,104.57,US,I,False,4,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
173,C_173,128.09,US,I,False,4,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
174,C_174,124.01,US,I,False,4,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
175,C_175,195.31,US,I,True,4,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
176,C_176,135.22,US,I,False,4,Consultant,Unknown,No,Pending,Cleared,Pending,35,Medium,Unknown source of funds; Pending documents,No,Not Required
177,C_177,128.79,US,I,False,4,Business Owner,Savings,No,Verified,Potential Match,Manual Review,50,Medium,Potential sanctions match,Yes,Pending Review
178,C_178,135.92,US,I,False,4,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
179,C_179,194.69,US,I,True,4,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
180,C_180,326.75,US,I,False,5,Software Developer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
181,C_181,324.22,US,I,False,5,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
182,C_182,343.12,US,I,False,5,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
183,C_183,277.6,US,I,False,5,Consultant,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
184,C_184,282.88,US,I,False,5,Consultant,Investment,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
185,C_185,330.17,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
186,C_186,200.3,US,I,False,5,Business Owner,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
187,C_187,238.46,US,I,False,5,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
188,C_188,266.88,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
189,C_189,247.88,US,I,False,5,Consultant,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
190,C_190,327.48,US,I,False,5,Consultant,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
191,C_191,275.73,US,I,False,5,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
192,C_192,375.08,US,I,False,5,Consultant,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
193,C_193,313.63,US,I,False,5,Teacher,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
194,C_194,282.88,US,I,False,5,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
195,C_195,280.45,US,I,False,5,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
196,C_196,340.37,US,I,False,5,Engineer,Salary,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
197,C_197,283.65,US,I,False,5,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
198,C_198,332.44,US,I,False,5,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
199,C_199,209.36,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
200,C_200,144.54,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
201,C_201,125.92,US,I,True,1,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
202,C_202,115.77,US,I,False,1,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
203,C_203,152.76,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
204,C_204,148.73,US,I,False,1,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
205,C_205,156.14,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
206,C_206,175.55,US,I,False,1,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
207,C_207,188.39,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
208,C_208,149.46,US,I,True,1,Consultant,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
209,C_209,131.21,US,I,False,1,Business Owner,Unknown,Yes,Verified,Cleared,Verified,60,High,PEP status; Unknown source of funds,Yes,Pending Review
210,C_210,146.69,US,I,False,1,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
211,C_211,180.9,US,I,True,1,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
212,C_212,187.5,US,I,False,1,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
213,C_213,181.24,US,I,False,1,Consultant,Unknown,Yes,Verified,Cleared,Verified,60,High,PEP status; Unknown source of funds,Yes,Pending Review
214,C_214,118.8,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
215,C_215,199.94,US,I,False,1,Teacher,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
