ACCOUNT_ID,CUSTOMER_ID,INIT_BALANCE,COUNTRY,ACCOUNT_TYPE,IS_FRAUD,TX_BEHAVIOR_ID,OCCUPATION,SOURCE_OF_FUNDS,PEP_STATUS,DOCUMENT_STATUS,SANCTIONS_STATUS
94,C_94,399.25,US,I,False,5,Software Developer,Investment,No,Verified,Cleared
95,C_95,383.39,US,I,False,5,Business Owner,Investment,No,Verified,Cleared
96,C_96,358.67,US,I,False,5,Business Owner,Savings,No,Verified,Cleared
97,C_97,216.47,US,I,False,5,Student,Savings,No,Verified,Cleared
98,C_98,322.56,US,I,False,5,Student,Family Support,Yes,Verified,Cleared
99,C_99,297.29,US,I,False,5,Teacher,Salary,No,Verified,Cleared
100,C_100,163.01,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
101,C_101,184.51,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
102,C_102,124.3,US,I,False,1,Consultant,Savings,No,Verified,Cleared
103,C_103,173.15,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
104,C_104,111.71,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
105,C_105,122.05,US,I,False,1,Teacher,Savings,No,Verified,Cleared
106,C_106,179.46,US,I,False,1,Engineer,Investment,No,Verified,Cleared
107,C_107,133.25,US,I,False,1,Business Owner,Savings,No,Verified,Cleared
108,C_108,181.59,US,I,False,1,Engineer,Salary,No,Verified,Cleared
109,C_109,110.06,US,I,False,1,Teacher,Salary,No,Verified,Cleared
110,C_110,114.64,US,I,False,1,Student,Family Support,No,Verified,Cleared
111,C_111,169.77,US,I,False,1,Teacher,Salary,No,Verified,Cleared
112,C_112,104.52,US,I,False,1,Engineer,Salary,No,Verified,Potential Match
113,C_113,157.39,US,I,False,1,Business Owner,Business Income,No,Pending,Cleared
114,C_114,191.0,US,I,False,1,Consultant,Investment,No,Verified,Cleared
115,C_115,153.42,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
116,C_116,168.06,US,I,False,1,Teacher,Savings,No,Verified,Cleared
117,C_117,102.67,US,I,False,1,Business Owner,Investment,No,Verified,Cleared
118,C_118,163.5,US,I,False,1,Software Developer,Savings,No,Verified,Cleared
119,C_119,160.63,US,I,False,1,Student,Family Support,No,Verified,Cleared
120,C_120,315.19,US,I,False,2,Student,Family Support,No,Verified,Cleared
121,C_121,278.24,US,I,False,2,Software Developer,Unknown,No,Verified,Cleared
122,C_122,274.03,US,I,False,2,Student,Family Support,No,Verified,Cleared
123,C_123,396.1,US,I,False,2,Business Owner,Savings,No,Verified,Cleared
124,C_124,207.28,US,I,False,2,Teacher,Salary,No,Verified,Cleared
125,C_125,204.33,US,I,True,2,Business Owner,Investment,No,Verified,Cleared
126,C_126,392.21,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared
127,C_127,236.99,US,I,True,2,Software Developer,Savings,No,Verified,Cleared
128,C_128,224.78,US,I,False,2,Consultant,Investment,No,Verified,Cleared
129,C_129,242.12,US,I,False,2,Consultant,Savings,Yes,Verified,Cleared
130,C_130,360.15,US,I,True,2,Teacher,Unknown,No,Rejected,Cleared
131,C_131,387.39,US,I,True,2,Software Developer,Savings,No,Verified,Cleared
132,C_132,204.56,US,I,False,2,Consultant,Salary,No,Pending,Cleared
133,C_133,285.12,US,I,True,2,Student,Savings,Yes,Verified,Cleared
134,C_134,220.3,US,I,False,2,Consultant,Savings,No,Verified,Potential Match
135,C_135,251.98,US,I,False,2,Student,Family Support,Yes,Verified,Cleared
136,C_136,244.17,US,I,False,2,Teacher,Salary,No,Verified,Cleared
137,C_137,329.39,US,I,True,2,Business Owner,Business Income,No,Verified,Cleared
138,C_138,270.06,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared
139,C_139,236.06,US,I,False,2,Consultant,Salary,No,Verified,Cleared
140,C_140,500.73,US,I,False,3,Student,Unknown,No,Verified,Cleared
141,C_141,407.88,US,I,True,3,Engineer,Savings,No,Verified,Cleared
142,C_142,420.18,US,I,False,3,Engineer,Salary,No,Pending,Cleared
143,C_143,597.65,US,I,False,3,Engineer,Savings,No,Verified,Cleared
144,C_144,439.87,US,I,True,3,Business Owner,Business Income,No,Pending,Cleared
145,C_145,471.71,US,I,False,3,Software Developer,Investment,No,Verified,Cleared
146,C_146,546.32,US,I,False,3,Business Owner,Savings,No,Verified,Cleared
147,C_147,567.67,US,I,False,3,Software Developer,Investment,No,Verified,Cleared
148,C_148,583.7,US,I,False,3,Student,Family Support,No,Verified,Cleared
149,C_149,433.88,US,I,False,3,Consultant,Savings,No,Verified,Cleared
150,C_150,534.53,US,I,False,3,Engineer,Savings,No,Verified,Cleared
151,C_151,593.31,US,I,True,3,Student,Family Support,No,Verified,Cleared
152,C_152,411.61,US,I,False,3,Student,Family Support,No,Verified,Cleared
153,C_153,535.24,US,I,False,3,Consultant,Business Income,No,Verified,Cleared
154,C_154,569.08,US,I,False,3,Student,Savings,No,Verified,Cleared
155,C_155,468.46,US,I,False,3,Consultant,Investment,Yes,Pending,Cleared
156,C_156,450.14,US,I,False,3,Teacher,Savings,No,Verified,Cleared
157,C_157,519.36,US,I,False,3,Consultant,Unknown,No,Verified,Cleared
158,C_158,488.46,US,I,False,3,Engineer,Salary,No,Verified,Cleared
159,C_159,434.96,US,I,False,3,Software Developer,Investment,No,Verified,Cleared
160,C_160,147.16,US,I,False,4,Software Developer,Investment,No,Verified,Cleared
161,C_161,140.99,US,I,False,4,Engineer,Salary,No,Verified,Cleared
162,C_162,156.91,US,I,False,4,Software Developer,Investment,No,Verified,Cleared
163,C_163,150.86,US,I,False,4,Consultant,Business Income,No,Verified,Cleared
164,C_164,131.14,US,I,False,4,Teacher,Savings,Yes,Verified,Cleared
165,C_165,135.72,US,I,False,4,Software Developer,Investment,No,Verified,Cleared
166,C_166,183.77,US,I,False,4,Teacher,Salary,Yes,Pending,Cleared
167,C_167,125.09,US,I,True,4,Engineer,Salary,No,Verified,Cleared
168,C_168,156.06,US,I,False,4,Teacher,Salary,No,Verified,Cleared
169,C_169,101.24,US,I,False,4,Student,Family Support,No,Verified,Cleared
170,C_170,174.16,US,I,False,4,Business Owner,Business Income,No,Verified,Cleared
171,C_171,133.59,US,I,False,4,Student,Family Support,No,Verified,Cleared
172,C_172,104.57,US,I,False,4,Engineer,Investment,No,Verified,Cleared
173,C_173,128.09,US,I,False,4,Software Developer,Salary,No,Verified,Cleared
174,C_174,124.01,US,I,False,4,Software Developer,Salary,No,Verified,Cleared
175,C_175,195.31,US,I,True,4,Teacher,Savings,No,Verified,Cleared
176,C_176,135.22,US,I,False,4,Consultant,Unknown,No,Pending,Cleared
177,C_177,128.79,US,I,False,4,Business Owner,Savings,No,Verified,Potential Match
178,C_178,135.92,US,I,False,4,Consultant,Investment,No,Verified,Cleared
179,C_179,194.69,US,I,True,4,Engineer,Savings,No,Verified,Cleared
180,C_180,326.75,US,I,False,5,Software Developer,Investment,No,Verified,Cleared
181,C_181,324.22,US,I,False,5,Teacher,Savings,No,Verified,Cleared
182,C_182,343.12,US,I,False,5,Software Developer,Savings,No,Verified,Cleared
183,C_183,277.6,US,I,False,5,Consultant,Salary,No,Verified,Cleared
184,C_184,282.88,US,I,False,5,Consultant,Investment,Yes,Verified,Cleared
185,C_185,330.17,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
186,C_186,200.3,US,I,False,5,Business Owner,Unknown,No,Verified,Cleared
187,C_187,238.46,US,I,False,5,Teacher,Salary,No,Verified,Cleared
188,C_188,266.88,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
189,C_189,247.88,US,I,False,5,Consultant,Unknown,No,Verified,Cleared
190,C_190,327.48,US,I,False,5,Consultant,Business Income,No,Verified,Cleared
191,C_191,275.73,US,I,False,5,Engineer,Salary,No,Verified,Cleared
192,C_192,375.08,US,I,False,5,Consultant,Business Income,No,Verified,Cleared
193,C_193,313.63,US,I,False,5,Teacher,Unknown,No,Verified,Cleared
194,C_194,282.88,US,I,False,5,Student,Family Support,No,Verified,Cleared
195,C_195,280.45,US,I,False,5,Engineer,Savings,No,Verified,Cleared
196,C_196,340.37,US,I,False,5,Engineer,Salary,No,Pending,Cleared
197,C_197,283.65,US,I,False,5,Teacher,Salary,No,Verified,Cleared
198,C_198,332.44,US,I,False,5,Teacher,Salary,No,Verified,Cleared
199,C_199,209.36,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
200,C_200,144.54,US,I,False,1,Engineer,Salary,No,Verified,Cleared
201,C_201,125.92,US,I,True,1,Business Owner,Business Income,No,Verified,Cleared
202,C_202,115.77,US,I,False,1,Consultant,Investment,No,Verified,Cleared
203,C_203,152.76,US,I,False,1,Engineer,Salary,No,Verified,Cleared
204,C_204,148.73,US,I,False,1,Engineer,Savings,No,Verified,Cleared
205,C_205,156.14,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
206,C_206,175.55,US,I,False,1,Student,Family Support,No,Verified,Cleared
207,C_207,188.39,US,I,False,1,Engineer,Salary,No,Verified,Cleared
208,C_208,149.46,US,I,True,1,Consultant,Savings,No,Verified,Cleared
209,C_209,131.21,US,I,False,1,Business Owner,Unknown,Yes,Verified,Cleared
210,C_210,146.69,US,I,False,1,Business Owner,Investment,No,Verified,Cleared
211,C_211,180.9,US,I,True,1,Software Developer,Savings,No,Verified,Cleared
212,C_212,187.5,US,I,False,1,Student,Family Support,No,Verified,Cleared
213,C_213,181.24,US,I,False,1,Consultant,Unknown,Yes,Verified,Cleared
214,C_214,118.8,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
215,C_215,199.94,US,I,False,1,Teacher,Unknown,No,Verified,Cleared
216,C_216,163.31,US,I,False,1,Consultant,Savings,No,Verified,Cleared
217,C_217,108.35,US,I,False,1,Consultant,Savings,No,Verified,Cleared
218,C_218,172.56,US,I,False,1,Student,Savings,No,Verified,Cleared
219,C_219,198.68,US,I,False,1,Business Owner,Investment,No,Verified,Potential Match
220,C_220,280.36,US,I,True,2,Consultant,Investment,No,Verified,Cleared
221,C_221,335.7,US,I,True,2,Software Developer,Salary,No,Pending,Cleared
222,C_222,263.24,US,I,False,2,Software Developer,Salary,No,Verified,Cleared
223,C_223,242.7,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared
224,C_224,343.46,US,I,False,2,Software Developer,Savings,No,Verified,Cleared
225,C_225,200.47,US,I,False,2,Teacher,Savings,No,Verified,Potential Match
226,C_226,364.55,US,I,False,2,Student,Family Support,No,Verified,Potential Match
227,C_227,305.67,US,I,False,2,Software Developer,Investment,No,Verified,Cleared
228,C_228,219.56,US,I,False,2,Software Developer,Salary,No,Verified,Cleared
229,C_229,223.78,US,I,False,2,Teacher,Unknown,No,Verified,Cleared
230,C_230,329.85,US,I,False,2,Student,Family Support,No,Verified,Cleared
231,C_231,374.73,US,I,False,2,Consultant,Salary,No,Verified,Cleared
232,C_232,256.0,US,I,False,2,Student,Family Support,No,Verified,Cleared
233,C_233,395.7,US,I,False,2,Engineer,Salary,No,Verified,Cleared
234,C_234,220.04,US,I,False,2,Business Owner,Savings,No,Verified,Cleared
235,C_235,370.79,US,I,False,2,Business Owner,Investment,No,Verified,Cleared
236,C_236,279.34,US,I,False,2,Engineer,Investment,No,Verified,Cleared
237,C_237,216.27,US,I,False,2,Teacher,Unknown,No,Verified,Cleared
238,C_238,254.94,US,I,False,2,Engineer,Savings,No,Verified,Cleared
239,C_239,290.6,US,I,False,2,Consultant,Savings,No,Verified,Cleared
240,C_240,558.47,US,I,False,3,Consultant,Business Income,No,Pending,Cleared
241,C_241,572.27,US,I,False,3,Business Owner,Investment,No,Verified,Cleared
242,C_242,426.68,US,I,False,3,Consultant,Salary,No,Verified,Cleared
243,C_243,504.17,US,I,False,3,Business Owner,Savings,No,Verified,Cleared
244,C_244,530.16,US,I,True,3,Engineer,Savings,No,Verified,Cleared
245,C_245,469.41,US,I,False,3,Engineer,Investment,No,Verified,Cleared
246,C_246,574.37,US,I,False,3,Software Developer,Salary,No,Verified,Cleared
247,C_247,455.68,US,I,False,3,Software Developer,Unknown,No,Verified,Cleared
248,C_248,403.71,US,I,False,3,Engineer,Savings,No,Verified,Cleared
249,C_249,408.13,US,I,True,3,Business Owner,Savings,No,Verified,Cleared
250,C_250,536.2,US,I,False,3,Engineer,Unknown,No,Verified,Cleared
251,C_251,511.67,US,I,True,3,Engineer,Salary,No,Verified,Cleared
252,C_252,589.3,US,I,False,3,Teacher,Unknown,No,Verified,Cleared
253,C_253,587.69,US,I,True,3,Engineer,Salary,No,Pending,Cleared
254,C_254,581.97,US,I,False,3,Consultant,Business Income,No,Verified,Cleared
255,C_255,408.4,US,I,False,3,Business Owner,Investment,No,Verified,Cleared
256,C_256,549.83,US,I,False,3,Teacher,Salary,No,Pending,Cleared
257,C_257,540.26,US,I,True,3,Software Developer,Investment,No,Verified,Cleared
258,C_258,531.07,US,I,True,3,Student,Savings,No,Verified,Cleared
259,C_259,542.47,US,I,False,3,Business Owner,Business Income,No,Verified,Cleared
260,C_260,190.27,US,I,True,4,Consultant,Salary,No,Verified,Cleared
261,C_261,164.01,US,I,False,4,Business Owner,Savings,No,Verified,Cleared
262,C_262,137.24,US,I,False,4,Software Developer,Savings,No,Verified,Cleared
263,C_263,153.79,US,I,False,4,Consultant,Investment,No,Verified,Cleared
264,C_264,120.78,US,I,False,4,Consultant,Business Income,No,Verified,Cleared
265,C_265,158.71,US,I,False,4,Student,Family Support,No,Verified,Cleared
266,C_266,100.89,US,I,True,4,Business Owner,Business Income,No,Verified,Cleared
267,C_267,115.1,US,I,False,4,Student,Savings,No,Verified,Cleared
268,C_268,133.34,US,I,False,4,Student,Savings,No,Verified,Cleared
269,C_269,178.96,US,I,True,4,Business Owner,Business Income,No,Pending,Cleared
270,C_270,171.85,US,I,False,4,Engineer,Unknown,No,Verified,Cleared
271,C_271,133.83,US,I,False,4,Engineer,Savings,No,Verified,Cleared
272,C_272,162.05,US,I,False,4,Software Developer,Salary,No,Verified,Cleared
273,C_273,104.12,US,I,True,4,Student,Family Support,No,Verified,Cleared
274,C_274,116.39,US,I,False,4,Teacher,Salary,No,Verified,Cleared
275,C_275,198.19,US,I,False,4,Student,Family Support,No,Verified,Cleared
276,C_276,128.95,US,I,False,4,Student,Family Support,No,Verified,Cleared
277,C_277,139.48,US,I,False,4,Student,Family Support,No,Verified,Cleared
278,C_278,154.85,US,I,False,4,Software Developer,Unknown,No,Verified,Potential Match
279,C_279,129.34,US,I,False,4,Engineer,Salary,No,Verified,Cleared
280,C_280,295.61,US,I,False,5,Software Developer,Savings,No,Rejected,Cleared
281,C_281,247.94,US,I,False,5,Software Developer,Investment,No,Verified,Cleared
282,C_282,209.65,US,I,False,5,Software Developer,Savings,No,Verified,Cleared
283,C_283,235.92,US,I,False,5,Engineer,Investment,No,Verified,Cleared
284,C_284,304.61,US,I,False,5,Engineer,Unknown,No,Verified,Cleared
285,C_285,214.17,US,I,False,5,Student,Family Support,No,Verified,Cleared
286,C_286,280.63,US,I,False,5,Software Developer,Savings,No,Verified,Cleared
287,C_287,265.7,US,I,False,5,Teacher,Salary,No,Verified,Cleared
288,C_288,282.94,US,I,False,5,Engineer,Salary,No,Pending,Cleared
289,C_289,219.88,US,I,True,5,Business Owner,Investment,No,Verified,Cleared
290,C_290,381.73,US,I,False,5,Business Owner,Investment,No,Verified,Cleared
291,C_291,294.8,US,I,False,5,Business Owner,Savings,No,Verified,Cleared
292,C_292,368.17,US,I,False,5,Consultant,Unknown,Yes,Verified,Cleared
293,C_293,395.25,US,I,False,5,Student,Savings,No,Verified,Cleared
294,C_294,268.73,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
295,C_295,295.82,US,I,False,5,Student,Family Support,No,Verified,Cleared
296,C_296,339.92,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
297,C_297,285.31,US,I,False,5,Teacher,Salary,No,Verified,Cleared
298,C_298,260.38,US,I,True,5,Student,Family Support,No,Verified,Cleared
299,C_299,346.95,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
300,C_300,189.44,US,I,False,1,Engineer,Investment,No,Verified,Cleared
301,C_301,191.97,US,I,False,1,Student,Savings,No,Verified,Cleared
302,C_302,162.67,US,I,False,1,Consultant,Investment,No,Pending,Cleared
303,C_303,137.56,US,I,False,1,Engineer,Savings,No,Verified,Cleared
304,C_304,197.46,US,I,False,1,Engineer,Savings,No,Verified,Cleared
305,C_305,163.89,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
306,C_306,106.58,US,I,False,1,Consultant,Savings,No,Verified,Cleared
307,C_307,108.47,US,I,False,1,Engineer,Salary,No,Verified,Cleared
308,C_308,174.99,US,I,False,1,Engineer,Salary,No,Verified,Cleared
309,C_309,106.12,US,I,False,1,Business Owner,Unknown,No,Verified,Cleared
310,C_310,100.79,US,I,False,1,Business Owner,Savings,No,Verified,Cleared
311,C_311,139.38,US,I,False,1,Student,Family Support,No,Verified,Cleared
312,C_312,151.9,US,I,False,1,Student,Family Support,No,Verified,Cleared
313,C_313,144.85,US,I,False,1,Student,Savings,No,Verified,Cleared
314,C_314,148.86,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
315,C_315,158.49,US,I,False,1,Student,Savings,No,Verified,Cleared
316,C_316,167.93,US,I,False,1,Engineer,Savings,No,Verified,Cleared
317,C_317,142.3,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
318,C_318,136.83,US,I,False,1,Student,Family Support,No,Verified,Cleared
319,C_319,198.85,US,I,False,1,Engineer,Savings,No,Verified,Cleared
320,C_320,252.18,US,I,True,2,Student,Family Support,No,Verified,Cleared
321,C_321,355.42,US,I,False,2,Teacher,Unknown,No,Verified,Cleared
322,C_322,286.24,US,I,False,2,Student,Savings,No,Verified,Cleared
323,C_323,271.7,US,I,False,2,Teacher,Salary,No,Verified,Cleared
324,C_324,212.77,US,I,False,2,Student,Savings,No,Verified,Cleared
325,C_325,372.72,US,I,False,2,Software Developer,Investment,No,Verified,Cleared
326,C_326,340.4,US,I,False,2,Software Developer,Savings,No,Verified,Cleared
327,C_327,380.6,US,I,False,2,Consultant,Savings,No,Verified,Cleared
328,C_328,290.32,US,I,True,2,Software Developer,Salary,No,Verified,Cleared
329,C_329,335.38,US,I,False,2,Software Developer,Unknown,No,Verified,Potential Match
330,C_330,223.78,US,I,False,2,Student,Family Support,No,Verified,Cleared
331,C_331,279.59,US,I,False,2,Business Owner,Investment,Yes,Verified,Cleared
332,C_332,241.45,US,I,True,2,Business Owner,Business Income,No,Verified,Cleared
333,C_333,208.42,US,I,False,2,Teacher,Savings,No,Verified,Cleared
334,C_334,389.59,US,I,False,2,Business Owner,Savings,No,Verified,Cleared
335,C_335,243.18,US,I,False,2,Engineer,Investment,No,Verified,Cleared
336,C_336,229.27,US,I,False,2,Consultant,Salary,No,Verified,Cleared
337,C_337,239.59,US,I,False,2,Software Developer,Savings,No,Verified,Cleared
338,C_338,275.61,US,I,False,2,Consultant,Savings,No,Verified,Cleared
339,C_339,309.28,US,I,False,2,Engineer,Salary,No,Verified,Cleared
340,C_340,430.27,US,I,False,3,Software Developer,Savings,Yes,Verified,Cleared
341,C_341,597.74,US,I,False,3,Teacher,Salary,No,Verified,Cleared
342,C_342,596.6,US,I,False,3,Engineer,Salary,Yes,Verified,Cleared
343,C_343,429.68,US,I,False,3,Engineer,Savings,No,Verified,Cleared
344,C_344,481.18,US,I,False,3,Consultant,Investment,No,Verified,Cleared
345,C_345,535.99,US,I,False,3,Student,Family Support,No,Verified,Cleared
346,C_346,575.53,US,I,False,3,Consultant,Savings,No,Verified,Cleared
347,C_347,499.08,US,I,False,3,Consultant,Salary,No,Verified,Cleared
348,C_348,583.41,US,I,False,3,Business Owner,Business Income,No,Verified,Cleared
349,C_349,464.49,US,I,False,3,Engineer,Salary,No,Pending,Cleared
350,C_350,499.69,US,I,True,3,Consultant,Business Income,No,Rejected,Cleared
351,C_351,499.73,US,I,True,3,Engineer,Salary,No,Verified,Cleared
352,C_352,534.01,US,I,True,3,Business Owner,Business Income,No,Verified,Cleared
353,C_353,440.4,US,I,False,3,Engineer,Salary,No,Verified,Cleared
354,C_354,521.95,US,I,False,3,Consultant,Savings,No,Verified,Cleared
355,C_355,443.75,US,I,True,3,Engineer,Investment,No,Verified,Cleared
