ALERT_ID,ALERT_TYPE,IS_FRAUD,TX_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_TYPE,TX_AMOUNT,TIMESTAMP
17,fan_in,True,24369,992,356,TRANSFER,3.25,42
6,fan_in,True,25319,915,998,TRANSFER,4.67,43
17,fan_in,True,25701,844,356,TRANSFER,3.24,44
6,fan_in,True,26062,644,998,TRANSFER,4.71,45
17,fan_in,True,27068,958,356,TRANSFER,3.32,46
6,fan_in,True,27543,93,998,TRANSFER,4.74,47
17,fan_in,True,28327,878,356,TRANSFER,3.32,48
30,cycle,True,31185,961,570,TRANSFER,19.13,53
30,cycle,True,31356,999,488,TRANSFER,19.13,54
9,fan_in,True,34381,410,926,TRANSFER,4.25,58
18,fan_in,True,35175,376,208,TRANSFER,3.02,60
30,cycle,True,35251,488,961,TRANSFER,19.13,60
9,fan_in,True,35350,644,926,TRANSFER,4.26,60
9,fan_in,True,36207,350,926,TRANSFER,3.08,62
18,fan_in,True,36363,931,208,TRANSFER,2.86,62
30,cycle,True,36414,536,999,TRANSFER,19.13,62
30,cycle,True,36943,570,536,TRANSFER,19.13,63
18,fan_in,True,37481,576,208,TRANSFER,2.81,64
9,fan_in,True,37905,901,926,TRANSFER,2.86,64
18,fan_in,True,39182,919,208,TRANSFER,2.71,66
1,fan_in,True,39515,984,328,TRANSFER,4.83,67
33,cycle,True,40339,932,151,TRANSFER,12.0,68
33,cycle,True,40428,883,932,TRANSFER,12.0,68
1,fan_in,True,40924,679,328,TRANSFER,4.35,69
39,cycle,True,41463,985,954,TRANSFER,17.31,70
39,cycle,True,41682,954,998,TRANSFER,17.31,71
1,fan_in,True,41858,414,328,TRANSFER,4.05,71
10,fan_in,True,42591,972,752,TRANSFER,4.23,72
33,cycle,True,42619,755,905,TRANSFER,12.0,72
1,fan_in,True,42629,991,328,TRANSFER,4.57,73
3,fan_in,True,42832,784,931,TRANSFER,3.42,73
19,fan_in,True,42947,905,996,TRANSFER,3.8,73
10,fan_in,True,43391,909,752,TRANSFER,3.47,74
3,fan_in,True,44037,996,931,TRANSFER,4.6,75
19,fan_in,True,44165,980,996,TRANSFER,4.13,75
39,cycle,True,44217,654,352,TRANSFER,17.31,75
33,cycle,True,44487,151,755,TRANSFER,12.0,75
10,fan_in,True,44986,966,752,TRANSFER,4.23,76
19,fan_in,True,45342,133,996,TRANSFER,3.97,77
3,fan_in,True,45381,691,931,TRANSFER,3.58,77
33,cycle,True,45563,905,883,TRANSFER,12.0,77
39,cycle,True,45948,352,985,TRANSFER,17.31,78
39,cycle,True,46116,998,654,TRANSFER,17.31,78
10,fan_in,True,46135,167,752,TRANSFER,4.28,78
3,fan_in,True,46621,127,931,TRANSFER,4.52,79
19,fan_in,True,46723,801,996,TRANSFER,3.95,79
32,cycle,True,53645,141,669,TRANSFER,15.81,91
32,cycle,True,54005,260,141,TRANSFER,15.81,92
32,cycle,True,55874,669,63,TRANSFER,15.81,94
38,cycle,True,58225,588,702,TRANSFER,13.14,98
32,cycle,True,58333,63,997,TRANSFER,15.81,99
32,cycle,True,58491,997,260,TRANSFER,15.81,99
38,cycle,True,58867,910,617,TRANSFER,13.14,99
38,cycle,True,62242,617,220,TRANSFER,13.14,105
38,cycle,True,62303,220,588,TRANSFER,13.14,105
38,cycle,True,62889,702,910,TRANSFER,13.14,106
22,cycle,True,63863,258,125,TRANSFER,12.36,108
22,cycle,True,63929,445,930,TRANSFER,12.36,108
22,cycle,True,64477,596,445,TRANSFER,12.36,109
22,cycle,True,64859,125,596,TRANSFER,12.36,110
22,cycle,True,65958,930,258,TRANSFER,12.36,112
4,fan_in,True,67897,641,664,TRANSFER,4.22,115
28,cycle,True,69203,70,951,TRANSFER,19.85,117
4,fan_in,True,69292,962,664,TRANSFER,4.11,117
28,cycle,True,69792,266,999,TRANSFER,19.85,118
4,fan_in,True,70254,211,664,TRANSFER,4.03,119
28,cycle,True,70342,999,70,TRANSFER,19.85,119
4,fan_in,True,71191,977,664,TRANSFER,4.7,121
28,cycle,True,73465,888,266,TRANSFER,19.85,125
28,cycle,True,73528,951,888,TRANSFER,19.85,125
21,cycle,True,74694,999,811,TRANSFER,15.48,127
21,cycle,True,75655,996,999,TRANSFER,15.48,128
5,fan_in,True,75887,600,970,TRANSFER,4.13,129
8,fan_in,True,76231,585,877,TRANSFER,2.99,129
5,fan_in,True,76987,972,970,TRANSFER,4.29,131
8,fan_in,True,77194,964,877,TRANSFER,3.26,131
5,fan_in,True,78249,717,970,TRANSFER,4.11,133
21,cycle,True,78408,811,130,TRANSFER,15.48,133
8,fan_in,True,78634,692,877,TRANSFER,2.89,133
21,cycle,True,78720,131,996,TRANSFER,15.48,133
21,cycle,True,79205,130,131,TRANSFER,15.48,134
5,fan_in,True,79590,589,970,TRANSFER,4.46,135
8,fan_in,True,79990,367,877,TRANSFER,3.04,135
25,cycle,True,80329,999,381,TRANSFER,15.71,136
25,cycle,True,82251,381,903,TRANSFER,15.71,139
25,cycle,True,82310,874,999,TRANSFER,15.71,139
25,cycle,True,83206,249,874,TRANSFER,15.71,141
35,cycle,True,83535,994,978,TRANSFER,11.06,142
35,cycle,True,83882,978,651,TRANSFER,11.06,142
25,cycle,True,84033,903,249,TRANSFER,15.71,143
35,cycle,True,85586,358,994,TRANSFER,11.06,145
35,cycle,True,85694,997,358,TRANSFER,11.06,145
35,cycle,True,86505,651,997,TRANSFER,11.06,147
24,cycle,True,90499,388,273,TRANSFER,12.03,154
24,cycle,True,91370,865,484,TRANSFER,12.03,155
24,cycle,True,91778,484,388,TRANSFER,12.03,155
24,cycle,True,92099,273,974,TRANSFER,12.03,156
24,cycle,True,92493,974,865,TRANSFER,12.03,156
36,cycle,True,95619,175,682,TRANSFER,13.26,162
0,fan_in,True,96081,819,251,TRANSFER,3.17,163
15,fan_in,True,97208,144,725,TRANSFER,3.92,165
36,cycle,True,97585,682,950,TRANSFER,13.26,165
0,fan_in,True,97728,452,251,TRANSFER,3.87,165
34,cycle,True,97889,997,469,TRANSFER,17.0,166
34,cycle,True,98528,469,928,TRANSFER,17.0,167
0,fan_in,True,98548,269,251,TRANSFER,3.38,167
36,cycle,True,98602,950,926,TRANSFER,13.26,167
15,fan_in,True,98936,961,725,TRANSFER,3.6,167
34,cycle,True,99833,928,320,TRANSFER,17.0,169
0,fan_in,True,99886,998,251,TRANSFER,3.82,169
15,fan_in,True,99887,540,725,TRANSFER,3.55,169
15,fan_in,True,100765,137,725,TRANSFER,3.69,171
36,cycle,True,101136,926,542,TRANSFER,13.26,172
36,cycle,True,101403,542,175,TRANSFER,13.26,172
34,cycle,True,102019,257,997,TRANSFER,17.0,173
16,fan_in,True,102413,332,578,TRANSFER,2.57,174
20,cycle,True,102420,151,424,TRANSFER,16.64,174
34,cycle,True,103221,320,257,TRANSFER,17.0,175
20,cycle,True,103569,885,151,TRANSFER,16.64,175
16,fan_in,True,103717,451,578,TRANSFER,2.57,176
20,cycle,True,104039,424,289,TRANSFER,16.64,176
16,fan_in,True,105333,244,578,TRANSFER,2.57,178
20,cycle,True,106053,289,179,TRANSFER,16.64,180
16,fan_in,True,106083,919,578,TRANSFER,2.57,180
20,cycle,True,106942,179,885,TRANSFER,16.64,181
27,cycle,True,106971,911,784,TRANSFER,12.34,181
27,cycle,True,107121,990,911,TRANSFER,12.34,182
27,cycle,True,107458,923,915,TRANSFER,12.34,182
27,cycle,True,110215,784,923,TRANSFER,12.34,186
31,cycle,True,111517,996,956,TRANSFER,18.96,189
27,cycle,True,112262,915,990,TRANSFER,12.34,190
31,cycle,True,112736,956,749,TRANSFER,18.96,191
31,cycle,True,113542,749,991,TRANSFER,18.96,193
31,cycle,True,115050,985,996,TRANSFER,18.96,195
31,cycle,True,115786,991,985,TRANSFER,18.96,196
26,cycle,True,116272,351,368,TRANSFER,12.52,197
